Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Segregating-Sites
62,62,0.514461,0.514461,2,2,473,473,82,82,0.4583699,0.4789474,165,165,59,59,0.4947605,0.4964597,0.5099852,0.5125715,0.4845538,0.4858244,0.4897025,0.4909752,0.000144956,8.287848e-05,0.0004154852,0.0004463224,0.0002998642,0.0002045544,0.0003424283,0.0002355432,0.2562204,1079,0.9870377,0.3181558
50,53,0.5030675,0.5035088,2,2,484,484,174,174,0.456617,0.4763158,147,147,46,49,0.4886255,0.4903156,0.4903572,0.4927609,0.4918764,0.4932542,0.4836384,0.4849288,9.335231e-05,4.412326e-05,0.0002214796,0.0001654483,0.0001818893,0.0001663506,0.0002750922,0.000199382,0.2590699,1091,0.9356593,0.318433
68,73,0.5425066,0.5425066,2,2,479,479,79,79,0.479404,0.4894737,131,131,63,67,0.5249781,0.5267614,0.5405683,0.543195,0.5076659,0.5090227,0.526659,0.5280622,0.0002388851,0.0001498031,0.000395472,0.0003035964,0.0005822923,0.0005015268,0.0002709043,0.0001796889,0.2547956,1073,0.8594933,0.3084286
42,47,0.520596,0.5210526,2,2,509,509,93,85,0.4680105,0.4715162,153,153,40,45,0.4973517,0.4990835,0.4919548,0.4943966,0.498627,0.500033,0.5014874,0.5028182,0.0002443227,0.0002049347,0.0002297299,0.0002029877,0.0003474374,0.0003409692,0.0006225296,0.0005345962,0.2609696,1099,0.9676517,0.3228116
66,70,0.4995618,0.5,3,3,525,525,76,70,0.4478528,0.4767748,137,137,61,65,0.4850436,0.4867071,0.5008559,0.5032982,0.4655606,0.4668377,0.4886728,0.4899818,9.481568e-05,3.319407e-05,0.0002603079,0.00019047,0.0002687692,0.0002296846,0.0002892438,0.0002168481,0.2552706,1075,0.8826058,0.3104482
55,61,0.5214724,0.5219298,2,2,475,475,95,95,0.4785276,0.4850877,153,153,53,59,0.5015814,0.5033426,0.5014265,0.5039013,0.5090389,0.5104329,0.4942792,0.4956914,0.0001199268,9.413298e-05,0.0002432899,0.0002006813,0.0003392257,0.0002902972,0.0001376556,0.0001504578,0.2578826,1086,0.7576731,0.3057335
59,69,0.5293602,0.5298246,2,2,489,490,120,58,0.4741455,0.4877193,142,142,56,65,0.5074877,0.5092448,0.5073605,0.5097437,0.5064073,0.5078901,0.5086957,0.5100916,0.0001942279,0.0001431392,0.0005551421,0.0004037509,0.0002876014,0.0003406526,0.0004183044,0.0003721906,0.2569328,1082,0.9439171,0.3163268
46,52,0.5328659,0.5333333,2,2,504,504,131,84,0.4776512,0.5,173,173,44,50,0.5139275,0.5156981,0.5331507,0.5357735,0.5188787,0.5202798,0.4897025,0.4910377,0.0001348915,7.348262e-05,0.0003126963,0.0002572361,0.0002113146,0.000140556,0.0003336144,0.0002825776,0.2600198,1095,0.9741272,0.3220495
58,63,0.5127082,0.5131579,2,2,481,482,72,64,0.4636284,0.4763158,150,150,56,61,0.4946462,0.4963623,0.5164898,0.5190821,0.4791762,0.4804176,0.4882151,0.4895858,0.000135101,8.983358e-05,0.000235448,0.0002363776,0.0004494542,0.0003437535,0.0003115522,0.000299495,0.2571703,1083,0.7765237,0.3060764
38,44,0.5197195,0.5201754,2,2,532,532,106,106,0.4645048,0.4833333,172,172,37,43,0.5011622,0.502886,0.4929819,0.4953605,0.4961098,0.4974834,0.5144165,0.5158169,0.0001556945,9.476779e-05,0.0002790959,0.0001884676,0.0004544633,0.0004224632,0.0002630758,0.0002047364,0.2619195,1103,1.007022,0.3265113
