Iteration	Posterior	Likelihood	Prior	delta	gamma	rho
0	-68.81436	-73.54205	4.72769	0.08045646	0.05883828	0.07871179
10	-64.04831	-65.83781	1.789502	0.1534289	0.1592788	0.1991176
20	-60.5902	-55.47387	-5.11633	0.5200835	0.4897821	0.192543
30	-60.95419	-51.76831	-9.185878	1.089147	0.2220465	0.2981703
40	-59.45851	-55.05127	-4.407237	0.8659167	0.08971956	0.175863
50	-59.4551	-54.24486	-5.210246	0.9440004	0.1173735	0.1504263
60	-59.28992	-55.13792	-4.152001	0.779278	0.2113801	0.1153175
70	-61.65579	-50.6024	-11.05339	1.268591	0.2402126	0.2873109
80	-60.74749	-59.35236	-1.395125	0.3762398	0.222132	0.2319162
90	-59.28305	-56.31277	-2.970289	0.6683047	0.2232444	0.09625536
100	-59.38153	-56.23366	-3.14787	0.6444625	0.2108892	0.1502108
110	-60.22394	-54.44625	-5.777686	1.031398	0.04193801	0.1952082
120	-60.31644	-56.98314	-3.333298	0.6402968	0.0774668	0.3063418
130	-59.49655	-56.2999	-3.196655	0.8224516	0.05091205	0.1370775
140	-59.28181	-55.87547	-3.406339	0.7993255	0.08651282	0.1455711
150	-59.15899	-56.039	-3.119992	0.7705763	0.1525854	0.07961302
160	-59.41317	-56.21079	-3.202376	0.6500858	0.2674299	0.09349737
170	-60.15371	-53.6775	-6.476215	1.000325	0.2851564	0.05291563
180	-60.57731	-55.21189	-5.365426	0.5412354	0.516828	0.1692548
190	-63.18488	-50.28984	-12.89505	1.16532	0.7051473	0.1098127
200	-62.10107	-51.60662	-10.49445	0.8600987	0.6579752	0.2221463
