Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-7595.117	-7440.506	-154.6102	39.04729	11.2	0.06081867	0.4967545	0.0158134	0.116479	0.0664006	0.0701134	0.0254026	0.00893212	0.0743927	0.0367787	0.0476227	0.0684125	0.0310502	0.0114306	0.00220952	0.00893842	0.222138	0.000599414	0.00599041	0.0106323	0.0170323	0.0267689	0.0222285	0.0309592	0.0230008	0.0181874	0.0570513	0.104429	0.0515267	0.167373	0.01698	0.00485939	0.0160382	0.0111469	0.0431199	0.0257915	0.00785086	0.00336195	0.0166051	0.193525	0.00389913	0.0275847	0.140902	0.0170528	0.04146323	0.242109	0.06571507	0.0161932	0.110142	0.0564963	0.577637	0.169231	0.0703009	0.0003304732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.10138	0.1336794	7.0068e-11	1.2479e-05	0.0147351	3.98525	0.0327878	0.249792	0.817893	2.89953	0.7222	0.129735	0.129735	0.0183309	0.06604555	33.9	13.65	20	5.8	7.75	15.97	0.012	4.9	11.2	13.7	1.8	0.027	4.9	4.9	0.005003717
10	-4527.139	-4495.747	-31.39159	43.89	11.784	0.1194439	1.793824	0.0334178	0.025319	0.025926	0.0218241	0.0221722	0.0115448	0.0390541	0.0385885	0.0204718	0.0183031	0.051915	0.00615861	0.00129002	0.0154885	0.104673	0.000880834	0.0165805	0.00654934	0.0253748	0.0141406	0.00787597	0.0398229	0.0158696	0.00269728	0.0227812	0.0215294	0.0236973	0.0283312	0.010868	0.00332317	0.0158528	0.0053035	0.0528803	0.00568221	0.00677325	0.00121934	0.00383528	0.0629053	0.0135978	0.0109382	0.0418711	0.0125127	0.04421797	0.02449114	0.05494659	0.00121752	0.0632017	0.0138023	0.0150586	0.880437	0.0262829	0.0007880799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	45.80033	0.07767348	5.01368e-06	0.00332028	0.149258	3.84742	0.267356	0.631131	1.06386	2.03766	0.325278	0.291879	0.183868	0.198975	0.05573467	36.7711	14.1702	20.2069	7.4207	7.75	16.6476	0.675673	4.98517	11.784	18.5289	3.93885	0.170336	4.9	6.68172	0.01413985
20	-4201.558	-4231.707	30.14861	44.33681	11.784	0.1642062	1.29464	0.0100437	0.0103369	0.00747062	0.00610657	0.00474587	0.00644035	0.0157561	0.0149628	0.00204278	0.0129096	0.0281879	0.00195735	0.00183175	0.0105354	0.0237108	0.000767406	0.00527181	0.00456511	0.018086	0.0070231	0.00175712	0.00783504	0.0102059	0.00575474	0.00449735	0.0030393	0.0247062	0.00145854	0.00670475	0.00259856	0.00469757	0.0032955	0.0656883	0.00223956	0.00501516	0.00170186	0.00406294	0.0135139	0.00402903	0.002114	0.028086	0.0159788	0.01052779	0.01908023	0.03055316	0.000433683	0.272368	0.0124193	0.00733174	0.702898	0.00454977	0.009939889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	44.87103	0.04969173	0.000117829	0.0160028	0.284141	3.69974	0.191786	0.550377	1.03568	2.22215	0.304799	0.29977	0.136661	0.25877	0.04049305	34.6244	15.8856	22.675	8.03521	7.75	16.6232	1.59211	6.71153	11.784	21.2971	5.18253	0.170336	4.9	9.54829	0.2454715
30	-4151.942	-4177.842	25.90028	47.05841	11.78975	0.1543232	0.5919917	0.0051277	0.00540051	0.00514615	0.00196153	0.0054682	0.00628408	0.0132686	0.00599058	0.00174184	0.0198494	0.0370795	0.00415615	0.00433804	0.0045356	0.020462	0.00328947	0.00359312	0.00525889	0.00994093	0.00684031	0.00436784	0.00507661	0.0156654	0.0126508	0.00163255	0.00487674	0.0132298	0.000955092	0.00541336	0.00346367	0.0111207	0.0263465	0.0354691	0.0027344	0.00553955	0.00264839	0.0114089	0.0221986	0.00335956	0.00150334	0.0174975	0.0115485	0.007152055	0.01695913	0.02078591	0.000614638	0.59304	0.0140273	0.0149848	0.371945	0.00538762	0.02115999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	47.18162	0.04267758	6.87194e-05	0.0122389	0.254824	3.73287	0.0514606	0.307791	0.877178	2.76357	0.300438	0.30169	0.129542	0.268329	0.04194589	34.6002	15.8484	22.675	8.17459	8.25549	16.6232	1.32586	6.55406	11.7897	18.0126	5.18253	0.170336	4.9	9.65182	0.5044591
40	-4122.996	-4157.87	34.87401	46.24556	11.47337	0.1678585	1.020339	0.00598677	0.0133727	0.0063706	0.00304004	0.00590726	0.00442602	0.014783	0.00147863	0.00163976	0.0232269	0.0283602	0.00374847	0.00842702	0.00595263	0.00735538	0.00417639	0.00160614	0.00730435	0.0120249	0.00446315	0.0110434	0.00531669	0.021525	0.0240954	0.00265454	0.0109756	0.00623609	0.00162753	0.0049749	0.00531712	0.0207704	0.00697945	0.0414711	0.0110088	0.00699372	0.0041163	0.00362461	0.0175104	0.00851286	0.00109131	0.00234136	0.00963464	0.008748399	0.02587798	0.01022327	0.00161328	0.564372	0.0152273	0.0111053	0.40303	0.00465274	0.05180329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	48.56695	0.03201987	0.000141514	0.0175278	0.294807	3.68752	0.140994	0.482781	1.00329	2.37293	0.293229	0.305319	0.128411	0.273042	0.06202656	37.1923	15.5616	22.675	6.42932	8.25549	16.6232	2.06494	5.54706	11.4734	22.4907	5.18253	0.180423	5.23509	9.3472	0.8351792
50	-4114.686	-4165.566	50.88018	42.45004	11.79931	0.1756387	0.2047315	0.00321291	0.00580043	0.0137625	0.00569782	0.00236201	0.00605023	0.0189969	0.00129045	0.000985997	0.0119346	0.0123695	0.00239819	0.00722004	0.00477377	0.00388934	0.00150322	0.00253316	0.00585743	0.0065796	0.00591649	0.00378847	0.00602119	0.00946437	0.00518514	0.00237509	0.00573357	0.00549225	0.00248813	0.00184863	0.00581793	0.0240312	0.0159036	0.0131408	0.0183681	0.00315688	0.002375	0.00154547	0.0208995	0.00284205	0.00381461	0.00339537	0.0048848	0.008394395	0.01007886	0.0100712	0.00135338	0.554593	0.0114321	0.0151723	0.413275	0.00417445	0.07797556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	52.02037	0.05868031	0.000203793	0.0210081	0.317175	3.66161	0.000623095	0.0365489	0.395893	3.56693	0.306705	0.297285	0.126933	0.269077	0.08804676	37.1923	15.9542	22.675	8.054	8.25549	16.6232	1.38014	5.13375	11.7993	22.4907	5.20145	0.180423	7.69259	8.65992	0.8856154
60	-4122.315	-4159.809	37.49465	43.81889	11.26261	0.1773616	0.2255045	0.00296933	0.00435816	0.0216411	0.0163808	0.00775936	0.00906185	0.0235985	0.003425	0.00160835	0.0208248	0.00313755	0.0150037	0.00244691	0.0136596	0.00537458	0.00381413	0.00543728	0.00777361	0.0177107	0.0157811	0.00803359	0.0226534	0.0084989	0.00956782	0.00541255	0.00912985	0.00286383	0.00334808	0.00598271	0.0131542	0.0288987	0.0153389	0.00464664	0.0113085	0.0242901	0.00834605	0.000814292	0.0149474	0.00204441	0.00566661	0.0102912	0.00962892	0.01229648	0.00948202	0.0592659	0.00503728	0.406524	0.00979351	0.0121225	0.559788	0.00673502	0.100524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	52.06222	0.06829588	0.00021998	0.0218203	0.32206	3.6559	0.00115957	0.0496624	0.446908	3.50227	0.317727	0.298015	0.129757	0.254501	0.1597899	37.1923	15.9542	22.675	6.93355	8.25549	16.8162	2.23543	6.79548	11.2626	18.6712	5.20563	0.178298	7.44306	9.59859	0.6291012
70	-4116.905	-4159.643	42.73853	37.6035	11.6738	0.1790286	0.2703204	0.00043864	0.00935834	0.0299743	0.00286603	0.0112282	0.00705847	0.00981169	0.00554535	0.000218143	0.0123032	0.00490483	0.00864161	0.00299738	0.0127074	0.00674362	0.00271451	0.00989801	0.0111754	0.0152001	0.0125617	0.0122522	0.0220601	0.00806894	0.0101828	0.00427508	0.00810103	0.00244334	0.0150241	0.00385351	0.0072552	0.0196557	0.0117775	0.00815285	0.0195209	0.0198677	0.0148023	0.00102413	0.00928409	0.00145679	0.00545042	0.00879127	0.00739106	0.008815525	0.01274614	0.058731	0.00562539	0.550097	0.00849586	0.0197425	0.410264	0.00577497	0.1149224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	49.3815	0.07637999	0.000236531	0.0226201	0.32676	3.65038	0.00319698	0.0817086	0.542426	3.37267	0.296492	0.313511	0.132019	0.257978	0.1736534	36.954	15.9542	22.675	7.56762	8.25549	16.8162	2.23543	9.60519	11.6738	21.1233	5.29211	0.178298	7.44306	9.26105	0.6617918
80	-4108.366	-4143.206	34.84053	39.2258	11.75062	0.1783211	0.6411643	3.59457e-05	0.00722935	0.0313617	0.0102058	0.0111179	0.00398112	0.0066126	0.0121317	0.000189759	0.00942487	0.0046386	0.010042	0.00452949	0.0101295	0.00371998	0.00516048	0.00832028	0.00546164	0.0144362	0.0128724	0.00197585	0.0595589	0.0120716	0.0116298	0.00947196	0.0104373	0.00192416	0.0039941	0.00552761	0.00867047	0.0141792	0.0160553	0.0177465	0.0197271	0.00188854	0.00986364	0.00172172	0.00316717	0.00468429	0.00247137	0.018982	0.0100049	0.0115184	0.02173724	-0.01006752	0.010926	0.48361	0.00818498	0.0082166	0.484226	0.00483629	0.127211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	47.61686	0.07670774	0.000229397	0.022279	0.324768	3.65272	0.0616942	0.334395	0.90095	2.70296	0.306618	0.286136	0.135829	0.271418	0.1171435	37.0123	15.9542	22.675	8.01351	8.25549	16.8162	1.52035	9.63968	11.7506	21.1233	5.29516	0.178298	7.44306	7.0461	1.085942
90	-4107.323	-4148.114	40.7914	37.49716	11.77224	0.1687688	0.3518992	4.22326e-05	0.00425508	0.0113844	0.0080787	0.0103075	0.00242149	0.00478814	0.0109134	7.88098e-05	0.00968303	0.00505293	0.0270544	0.00292235	0.0106534	0.00581968	0.00519968	0.00819318	0.00957986	0.0154596	0.0087709	0.00868157	0.02401	0.0236161	0.0067003	0.00779676	0.0125035	0.0023749	0.00383735	0.00345911	0.00819274	0.00956656	0.00658003	0.00510863	0.016199	0.00117919	0.00663457	0.00238604	0.00298517	0.0107981	0.00968291	0.0278154	0.0015398	0.01162639	0.01429296	-0.01386737	0.0130219	0.489674	0.00848189	0.00999203	0.472854	0.00597592	0.1821624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	45.11175	0.04167457	0.00014794	0.0179188	0.297449	3.68448	0.01043	0.145031	0.673507	3.17103	0.304562	0.309172	0.12744	0.258827	0.168295	37.0123	15.9542	22.675	8.09364	8.25549	16.8628	1.52035	9.63701	11.7722	20.5874	5.29516	0.178298	5.47546	6.56648	1.082399
