Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-6709.133	-6484.077	-225.0566	39.96489	11.2	0.2999359	1.531051	0.0154468	0.174008	0.149308	0.0728663	0.0162723	0.00119819	0.264578	0.0519562	0.081668	0.235735	0.203359	0.0654928	0.0959138	0.112279	0.0424583	0.224295	0.0841272	0.143022	0.00428353	0.0870446	0.036557	0.106462	0.339114	0.0242276	0.145302	0.125851	0.221217	0.365776	0.0123457	0.104896	0.181333	0.111494	0.00986702	0.0669489	0.0671669	0.0453493	0.171621	0.244398	0.0170479	0.0181647	0.273091	0.107379	0.1402478	1.425317	0.01964086	0.0632085	0.0606057	0.0323868	0.067751	0.0923896	0.683658	0.0006133167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.76892	0.1331785	0.00529011	0.104445	0.595695	3.29457	0.23008	0.593644	1.05219	2.12408	0.293995	0.4789	0.146569	0.0805365	0.02025418	15.97	13.7	13.65	5.8	4.9	4.9	11.2	0.012	4.9	20	7.75	33.9	0.027	1.8	0.030281
10	-4464.687	-4379.163	-85.52435	46.34895	11.66799	0.2670188	0.5824865	0.0019127	0.00871909	0.0086234	0.00941073	0.00255406	0.000153406	0.0256345	0.00116558	0.0211361	0.0107229	0.00462489	0.0048387	0.0328506	0.00457066	0.00155592	0.00546009	0.00283688	0.00495451	0.000419072	0.00543302	0.000980461	0.00326169	0.0100051	0.00194971	0.022074	0.00148487	0.0152943	0.0198681	0.00112495	0.00344162	0.00232318	0.00703164	0.000813265	0.00731275	0.00445644	0.000133664	0.0308274	0.0312994	0.00418399	0.0018541	0.00743111	0.0160248	0.04466605	0.09012534	0.03074823	0.0032554	0.480808	0.00733404	0.016886	0.227209	0.264508	0.00163012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.80033	0.04850573	0.00300156	0.079227	0.536029	3.38174	0.0495171	0.302396	0.872114	2.77597	0.311681	0.320159	0.101646	0.266513	0.03237835	15.97	13.7	13.65	7.60281	4.9	4.9	11.668	0.012	5.76886	20	7.75	33.9	0.027	1.8	0.05034599
20	-4306.24	-4291.129	-15.11101	47.03671	11.66799	0.1943501	1.159347	0.000649325	0.00602367	0.0145013	0.000728435	0.00196527	0.000282797	0.0493716	0.000956776	0.00939095	0.00333653	0.0039036	0.00597953	0.0190304	0.00414663	0.00207274	0.00434832	0.00140858	0.00663691	0.000528341	0.00822624	0.00114985	0.00413305	0.00515155	0.0012073	0.0132603	0.000669288	0.0142869	0.0176907	0.00115325	0.00249938	0.00518538	0.00511965	0.000383392	0.00699191	0.00533491	6.39708e-05	0.0351827	0.00636199	0.00302626	0.00335145	0.0105102	0.0114189	0.007033754	0.01518187	0.03540563	0.00113939	0.357236	0.00845675	0.00454113	0.470667	0.157959	0.007184957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.36598	0.03848617	0.000434587	0.0305809	0.368752	3.60023	0.167609	0.519915	1.02209	2.29038	0.311454	0.308694	0.111932	0.26792	0.04259059	15.97	18.9307	14.1932	7.60281	9.69521	4.9	11.668	0.907027	5.37683	20	8.29054	33.9	0.027	1.8	0.1686983
30	-4171.958	-4169.308	-2.650228	46.3833	11.66799	0.1695167	0.7017539	0.00375522	0.0266304	0.00926244	0.00123119	0.00316136	0.000422765	0.00667194	0.0015264	0.00781755	0.00246173	0.00404099	0.0030934	0.0197465	0.0240691	0.00335667	0.00469265	0.00160932	0.0064155	0.00253299	0.0108516	0.00121661	0.01013	0.0039235	0.000963147	0.00492048	0.00134689	0.0131254	0.0222302	0.000601266	0.00910745	0.00851376	0.00154286	0.00066481	0.00898553	0.0157265	0.000418559	0.0199144	0.00257553	0.0150676	0.00695872	0.0172669	0.0400253	0.007425158	0.01433808	0.03027588	0.005217	0.479489	0.0102533	0.00831535	0.476545	0.0201807	0.04199843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.51517	0.01875339	0.000153384	0.0182433	0.299616	3.68199	0.074563	0.364357	0.925517	2.63556	0.296079	0.320111	0.127496	0.256314	0.07227431	15.97	18.9307	14.5886	8.12392	9.69521	6.25982	11.668	0.418141	5.37683	20	8.02844	33.9	0.027	2.05604	0.5810977
40	-4153.121	-4161.395	8.274523	48.35185	11.66799	0.1809911	1.646709	0.00489944	0.0150637	0.00608723	0.00256374	0.00994617	0.00104684	0.0300168	0.00237156	0.00822372	0.00305208	0.00697239	0.00677144	0.00723919	0.00277697	0.0040754	0.00316312	0.00157796	0.00550709	0.00253948	0.00880514	0.00146271	0.00689633	0.00524306	0.000864963	0.00533476	0.00110072	0.0229183	0.00903868	0.00108352	0.00566544	0.0126625	0.00332123	0.000468559	0.00154239	0.0138602	0.000769288	0.0107644	0.00142637	0.0107912	0.00661391	0.0166684	0.022202	0.008166494	0.009267903	0.0290888	0.00780436	0.522432	0.00564166	0.00785078	0.449325	0.00694678	0.06448639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.85041	0.02652714	0.000257176	0.023579	0.332262	3.6439	0.247122	0.611285	1.05799	2.0836	0.325704	0.297586	0.128505	0.248205	0.0935752	15.97	18.9307	14.5886	8.12392	9.69521	9.01983	11.668	1.12104	5.37683	20	8.35364	33.9	0.027	2.05604	0.6891398
50	-4171.925	-4172.416	0.4908861	47.43936	11.66799	0.2651974	1.726572	0.00644552	0.0146938	0.00425108	0.00193371	0.00228092	0.00250268	0.0236003	0.00519562	0.00534799	0.00455418	0.00594137	0.0249548	0.012689	0.0103334	0.00516723	0.00355658	0.00093338	0.00621751	0.00180398	0.0104439	0.0015394	0.00503034	0.00724388	0.000348008	0.00326453	0.00103855	0.0417777	0.00772665	0.00582283	0.00359179	0.0115307	0.0165577	0.000979833	0.0105429	0.0124636	0.000363581	0.017512	0.000610563	0.00768508	0.005755	0.0193059	0.0128785	0.01127075	0.01035173	-0.00866291	0.0117408	0.517985	0.00848572	0.00911115	0.440336	0.0123408	0.1580603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.81201	0.01234114	0.00289696	0.077864	0.532458	3.38678	0.258298	0.622385	1.06136	2.05796	0.318968	0.305349	0.113668	0.262015	0.1493974	15.97	20.5035	14.5886	8.12392	8.63685	7.93769	11.668	1.12104	6.58984	20	7.85187	33.9	0.027	2.05604	1.057986
60	-4156.967	-4168.357	11.39034	45.32199	11.66799	0.2199082	0.4565123	0.00743681	0.00371183	0.0037414	0.00421346	0.00251982	0.000614018	0.018401	0.00475937	0.00200862	0.00247682	0.00383029	0.0133374	0.00726134	0.0119079	0.00286396	0.00114495	0.00165118	0.00501794	0.00253679	0.007704	0.000891269	0.00425745	0.0054002	0.000213882	0.00485153	0.000836409	0.0158408	0.00619049	0.00378287	0.00237107	0.0212134	0.0243941	0.0058985	0.0173467	0.00576586	0.000391221	0.00353386	0.000174891	0.00350736	0.0178638	0.0162179	0.0119277	0.00684919	0.006933813	0.03070834	0.0107805	0.52673	0.00691947	0.0106914	0.429136	0.0157427	0.1693749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.47615	0.01031739	0.000992328	0.0459918	0.433598	3.51942	0.0256393	0.222581	0.785851	2.96593	0.295825	0.292942	0.130658	0.280575	0.2000833	15.97	19.8257	14.5886	7.74908	5.83096	5.28342	11.668	1.12104	6.58984	20	7.85187	33.9	0.027	2.05604	0.8465222
70	-4157.128	-4163.625	6.496654	48.03015	11.66799	0.2263958	0.8065463	0.00518617	0.00846548	0.00181481	0.0105858	0.00145554	7.34401e-05	0.00497037	0.0016169	0.00510978	0.00757836	0.0026969	0.0038944	0.00447192	0.00537346	0.00443019	0.00189805	0.00150978	0.00445808	0.00228275	0.00744146	0.000305868	0.0132114	0.0153701	0.000563931	0.00906042	0.00122728	0.00404116	0.0118668	0.0077265	0.00410737	0.0173715	0.0311513	0.0169463	0.0111146	0.00658583	0.000279148	0.00910826	0.000382523	0.00283305	0.0112314	0.0188797	0.0206536	0.006888679	0.01070368	0.0222508	0.0134949	0.49425	0.00356273	0.00431612	0.461583	0.0227929	0.180538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.65386	0.01934964	0.00118784	0.0502555	0.448998	3.49956	0.096951	0.409756	0.958752	2.53454	0.300717	0.294655	0.132071	0.272558	0.2027888	15.97	19.047	14.2346	7.74908	5.83096	5.28342	11.668	1.12104	6.58984	20	7.85187	33.9	0.027	2.05604	0.890276
80	-4158.608	-4165.453	6.845565	46.53838	11.66799	0.1887025	0.9776559	0.00918087	0.007628	0.0116109	0.0015582	0.00457115	2.49746e-05	0.0181326	0.00326268	0.00426196	0.00923103	0.00258267	0.00371639	0.00443886	0.0108153	0.00427112	0.00240316	0.00151747	0.0036422	0.00184787	0.00638601	0.000168698	0.00365263	0.0186076	0.0013608	0.00232835	0.0016708	0.0023628	0.00695879	0.0147124	0.0095157	0.011311	0.0380825	0.0117789	0.0118969	0.00362629	0.000778243	0.010219	0.000271299	0.00162067	0.00466106	0.0259983	0.00686294	0.007434667	0.009460649	0.04521467	0.0178454	0.558265	0.00248756	0.00482182	0.399728	0.0168519	0.1702505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.02597	0.01020544	0.000351318	0.0275227	0.353535	3.61859	0.132474	0.469931	0.996197	2.4014	0.312784	0.295722	0.129159	0.262335	0.2154652	15.97	22.5208	14.2346	7.74908	7.1838	5.87202	11.668	1.12104	7.24691	21.8701	7.85187	33.9	0.027	2.05604	0.7901532
90	-4148.542	-4171.279	22.73768	46.39269	11.66799	0.2062779	1.278872	0.0034081	0.00773889	0.00509401	0.00027395	0.00348919	6.49116e-05	0.00211158	0.00397319	0.00301584	0.011349	0.00237964	0.00526185	0.00724702	0.00310804	0.00277013	0.00273332	0.00156369	0.00494828	0.00201515	0.00844685	0.000142926	0.00259643	0.0149088	0.00111376	0.00645221	0.00131779	0.00335326	0.00382835	0.0121231	0.0101753	0.0208856	0.010872	0.0102418	0.00468442	0.00188273	0.000221822	0.00818326	0.00100569	0.00693622	0.0025695	0.00723396	0.0032214	0.005841274	0.0103044	-0.002794801	0.00995591	0.518327	0.0011288	0.00123626	0.44704	0.0223124	0.1225402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.83117	0.01894166	0.000655407	0.0374739	0.399843	3.56203	0.189056	0.547072	1.03429	2.22959	0.307773	0.27743	0.140966	0.273831	0.1197454	16.2726	22.5208	14.1991	7.74908	6.05798	5.87202	11.668	1.12104	7.05314	21.8701	7.85832	33.9	0.027	3.59665	1.02334
